ciclo,lote,uf,veiculo,data,distancia_percorrida
ciclo 2,1,MS,QXH-5198,2021-08-15,"89,0"
ciclo 2,1,MS,QXH-5198,2021-08-16,"184,0"
ciclo 2,1,MS,QXH-5198,2021-08-17,"55,0"
ciclo 2,1,MS,QXH-5198,2021-08-18,"119,0"
ciclo 2,1,MS,QXH-5198,2021-08-19,"116,0"
ciclo 2,1,MS,QXH-5198,2021-08-20,"152,0"
ciclo 2,1,MS,QXH-5198,2021-08-21,"31,0"
ciclo 2,1,MS,QXH-5198,2021-08-22,"6,0"
ciclo 2,1,MS,QXH-5198,2021-08-23,"84,0"
ciclo 2,1,MS,QXH-5198,2021-08-24,"143,0"
ciclo 2,1,MS,QXH-5198,2021-08-25,"156,0"
ciclo 2,1,MS,QXH-5198,2021-08-28,"68,0"
ciclo 2,1,MS,QXH-5198,2021-08-29,"59,0"
ciclo 2,1,MS,QXH-5198,2021-08-30,"155,0"
ciclo 2,1,MS,QXH-5198,2021-08-31,"58,0"
ciclo 2,1,MS,QXH-5198,2021-09-01,"73,0"
ciclo 2,1,MS,QXH-5198,2021-09-02,"0,0"
ciclo 2,1,MS,QXH-5198,2021-09-03,"104,0"
ciclo 2,1,MS,QXH-5198,2021-09-08,"115,0"
ciclo 2,1,MS,QXH-5198,2021-09-09,"82,0"
ciclo 2,1,MS,QXH-5198,2021-09-10,"160,0"
ciclo 2,1,MS,QXH-5198,2021-09-11,"126,0"
ciclo 2,1,MS,QXH-5198,2021-09-12,"126,0"
ciclo 2,1,MS,QXH-5198,2021-09-13,"57,0"
ciclo 2,1,MT,QXH-5198,2021-07-20,"213,0"
ciclo 2,1,MT,QXH-5198,2021-07-21,"181,0"
ciclo 2,1,MT,QXH-5198,2021-07-22,"43,0"
ciclo 2,1,MT,QXH-5198,2021-07-23,"179,0"
ciclo 2,1,MT,QXH-5198,2021-07-24,"25,0"
ciclo 2,1,MT,QXH-5198,2021-09-15,"97,0"
ciclo 2,1,MT,QXH-5198,2021-09-16,"157,0"
ciclo 2,1,MT,QXH-5198,2021-09-17,"129,0"
ciclo 2,1,MT,QXH-5198,2021-09-18,"111,0"
ciclo 2,1,MT,QXH-5198,2021-09-19,"156,0"
ciclo 2,1,MT,QXH-5198,2021-09-20,"38,0"
ciclo 2,1,MT,QXH-5198,2021-10-24,"52,0"
ciclo 2,1,MT,QXH-5198,2021-10-25,"121,0"
ciclo 2,1,MT,QXH-5198,2021-10-26,"89,0"
ciclo 2,1,MT,QXH-5198,2021-10-27,"113,0"
ciclo 2,1,MT,QXH-5198,2021-10-31,"33,0"
ciclo 2,1,MT,QXH-5198,2021-11-01,"125,0"
ciclo 2,1,MT,QXH-5198,2021-11-02,"179,0"
ciclo 2,1,MT,QXH-5198,2021-11-03,"260,0"
ciclo 2,1,MT,QXH-5198,2021-11-04,"122,0"
ciclo 2,1,MT,QXH-5198,2021-11-05,"270,0"
ciclo 2,1,MT,QXH-5198,2021-11-07,"279,0"
ciclo 2,1,MT,QXH-5198,2021-11-08,"103,0"
ciclo 2,1,MT,QXH-5198,2021-11-09,"189,0"
ciclo 2,1,MT,QXH-5198,2021-11-10,"66,0"
ciclo 2,1,PA,QXH-5198,2021-09-22,"110,0"
ciclo 2,1,PA,QXH-5198,2021-09-23,"183,0"
ciclo 2,1,PA,QXH-5198,2021-09-27,"251,0"
ciclo 2,1,PA,QXH-5198,2021-10-03,"145,0"
ciclo 2,1,PA,QXH-5198,2021-10-05,"11,0"
ciclo 2,1,PA,QXH-5198,2021-10-06,"69,0"
ciclo 2,1,PA,QXH-5198,2021-10-07,"162,0"
ciclo 2,1,PA,QXH-5198,2021-10-08,"9,0"
ciclo 2,1,PA,QXH-5198,2021-10-09,"58,0"
ciclo 2,1,PA,QXH-5198,2021-10-11,"81,0"
ciclo 2,1,PA,QXH-5198,2021-10-13,"23,0"
ciclo 2,1,PA,QXH-5198,2021-10-15,"142,0"
ciclo 2,1,PA,QXH-5198,2021-10-16,"31,0"
ciclo 2,1,PA,QXH-5198,2021-10-17,"30,0"
ciclo 2,1,PA,QXH-5198,2021-10-20,"51,0"
ciclo 2,1,PA,QXH-5198,2021-10-21,"16,0"
ciclo 2,1,PA,QXH-5198,2021-10-22,"32,0"
ciclo 2,1,PA,QXH-5198,2021-10-23,"149,0"
ciclo 2,1,PA,QXH-5198,2021-10-24,"46,0"
ciclo 2,1,PA,RFA-5H23,2021-07-21,"182,0"
ciclo 2,1,PA,RFA-5H23,2021-07-22,"134,0"
ciclo 2,1,PA,RFA-5H23,2021-07-23,"213,0"
ciclo 2,1,PA,RFA-5H23,2021-07-24,"272,0"
ciclo 2,1,PA,RFA-5H23,2021-07-25,"135,0"
ciclo 2,1,PA,RFA-5H23,2021-07-26,"174,0"
ciclo 2,1,PA,RFA-5H23,2021-07-27,"48,0"
ciclo 2,1,PA,RFA-5H23,2021-10-09,"1,0"
ciclo 2,1,PA,RFA-5H23,2022-02-15,"11,0"
ciclo 2,1,RO,RFA-5H23,2021-09-03,"37,0"
ciclo 2,1,RO,RFA-5H23,2021-09-04,"31,0"
ciclo 2,1,RO,RFA-5H23,2021-09-05,"131,0"
ciclo 2,1,RO,RFA-5H23,2021-09-14,"119,0"
ciclo 2,1,RO,RFA-5H23,2021-09-15,"158,0"
ciclo 2,1,RO,RFA-5H23,2021-09-16,"154,0"
ciclo 2,1,RO,RFA-5H23,2021-09-17,"234,0"
ciclo 2,1,RO,RFA-5H23,2021-09-18,"86,0"
ciclo 2,1,RO,RFA-5H23,2021-09-19,"243,0"
ciclo 2,1,RO,RFA-5H23,2021-09-20,"184,0"
ciclo 2,1,RO,RFA-5H23,2021-09-21,"278,0"
ciclo 2,1,RO,RFA-5H23,2021-09-22,"162,0"
ciclo 2,1,RO,RFA-5H23,2021-09-23,"78,0"
ciclo 2,1,RR,RFA-5H23,2021-08-22,"89,0"
ciclo 2,1,RR,RFA-5H23,2021-08-23,"156,0"
ciclo 2,1,RR,RFA-5H23,2021-08-24,"147,0"
ciclo 2,1,RR,RFA-5H23,2021-08-25,"221,0"
ciclo 2,1,RR,RFA-5H23,2021-08-26,"139,0"
ciclo 2,1,RR,RFA-5H23,2021-08-27,"109,0"
ciclo 2,1,RR,RFA-5H23,2021-08-28,"137,0"
ciclo 2,1,RR,RFA-5H23,2021-08-29,"171,0"
ciclo 2,1,TO,RFA-5H23,2021-07-09,"165,0"
ciclo 2,1,TO,RFA-5H23,2021-07-10,"254,0"
ciclo 2,1,TO,RFA-5H23,2021-07-11,"39,0"
ciclo 2,1,TO,RFA-5H23,2021-07-12,"142,0"
ciclo 2,1,TO,RFA-5H23,2021-07-13,"145,0"
ciclo 2,1,TO,RFA-5H23,2021-07-14,"77,0"
ciclo 2,1,TO,RFA-5H23,2021-07-15,"55,0"
ciclo 2,1,TO,RFA-5H23,2021-07-16,"158,0"
ciclo 2,1,TO,RFA-5H23,2021-07-17,"129,0"
ciclo 2,1,TO,RFA-5H23,2021-07-18,"135,0"
ciclo 2,1,TO,RFA-5H23,2021-07-19,"178,0"
ciclo 2,1,TO,RFA-5H23,2021-07-20,"181,0"
ciclo 2,2,AL,IZV-6C04,2021-10-19,"95,0"
ciclo 2,2,AL,IZV-6C04,2021-10-20,"98,0"
ciclo 2,2,AL,IZV-6C04,2021-10-21,"194,0"
ciclo 2,2,AL,IZV-6C04,2021-10-22,"18,0"
ciclo 2,2,AL,IZV-6C04,2021-11-20,"237,0"
ciclo 2,2,AL,IZV-6C04,2021-11-21,"166,0"
ciclo 2,2,AL,IZV-6C04,2021-11-22,"118,0"
ciclo 2,2,BA,IZV-6C04,2021-07-14,"79,0"
ciclo 2,2,BA,IZV-6C04,2021-07-15,"64,0"
ciclo 2,2,BA,IZV-6C04,2021-07-16,"113,0"
ciclo 2,2,BA,IZV-6C04,2021-07-17,"52,0"
ciclo 2,2,BA,IZV-6C04,2021-07-19,"105,0"
ciclo 2,2,BA,IZV-6C04,2021-07-20,"117,0"
ciclo 2,2,BA,IZV-6C04,2021-07-22,"5,0"
ciclo 2,2,BA,IZV-6C04,2021-07-29,"129,0"
ciclo 2,2,BA,IZV-6C04,2021-08-05,"86,0"
ciclo 2,2,BA,IZV-6C04,2021-08-06,"106,0"
ciclo 2,2,BA,IZV-6C04,2021-08-07,"207,0"
ciclo 2,2,BA,IZV-6C04,2021-08-08,"140,0"
ciclo 2,2,BA,IZV-6C04,2021-08-10,"303,0"
ciclo 2,2,BA,IZV-6C04,2021-08-11,"127,0"
ciclo 2,2,BA,IZV-6C04,2021-08-12,"162,0"
ciclo 2,2,BA,IZV-6C04,2021-08-13,"66,0"
ciclo 2,2,BA,IZV-6C04,2021-08-14,"253,0"
ciclo 2,2,BA,IZV-6C04,2021-08-15,"145,0"
ciclo 2,2,BA,IZV-6C04,2021-08-16,"48,0"
ciclo 2,2,BA,IZV-6C04,2021-08-28,"1,0"
ciclo 2,2,BA,IZV-6C04,2021-08-29,"65,0"
ciclo 2,2,BA,IZV-6C04,2021-08-30,"56,0"
ciclo 2,2,BA,IZV-6C04,2021-08-31,"266,0"
ciclo 2,2,BA,IZV-6C04,2021-09-14,"5,0"
ciclo 2,2,BA,IZV-6C04,2021-09-29,"73,0"
ciclo 2,2,BA,IZV-6C04,2021-09-30,"47,0"
ciclo 2,2,BA,IZV-6C04,2021-10-01,"81,0"
ciclo 2,2,BA,IZV-6C04,2021-10-04,"201,0"
ciclo 2,2,BA,IZV-6C04,2021-10-05,"202,0"
ciclo 2,2,BA,IZV-6C04,2021-10-07,"280,0"
ciclo 2,2,BA,IZV-6C04,2021-10-08,"144,0"
ciclo 2,2,BA,IZV-6C04,2021-11-02,"75,0"
ciclo 2,2,BA,IZV-6C04,2021-11-03,"35,0"
ciclo 2,2,BA,IZV-6C04,2021-11-04,"75,0"
ciclo 2,2,BA,IZV-6C04,2021-11-05,"128,0"
ciclo 2,2,BA,IZV-6C04,2021-11-08,"194,0"
ciclo 2,2,BA,IZV-6C04,2021-11-09,"223,0"
ciclo 2,2,BA,IZV-6C04,2021-11-10,"155,0"
ciclo 2,2,BA,IZV-6C04,2021-11-11,"190,0"
ciclo 2,2,BA,IZV-6C04,2021-11-12,"110,0"
ciclo 2,2,BA,IZV-6C04,2021-11-13,"146,0"
ciclo 2,2,BA,IZV-6C04,2021-11-17,"68,0"
ciclo 2,2,BA,IZV-6C04,2021-11-19,"115,0"
ciclo 2,2,BA,IZV-6C04,2021-11-20,"261,0"
ciclo 2,2,BA,IZV-6C04,2021-11-21,"26,0"
ciclo 2,2,BA,IZV-6C04,2021-11-22,"48,0"
ciclo 2,2,BA,IZV-6C04,2021-11-23,"184,0"
ciclo 2,2,CE,IYB-0025,2021-07-29,"103,0"
ciclo 2,2,CE,IYB-0025,2021-08-12,"206,0"
ciclo 2,2,CE,IYB-0025,2021-08-13,"296,0"
ciclo 2,2,CE,IYB-0025,2021-08-14,"210,0"
ciclo 2,2,CE,IYB-0025,2021-08-17,"334,0"
ciclo 2,2,CE,IYB-0025,2021-08-18,"220,0"
ciclo 2,2,CE,IYB-0025,2021-08-19,"40,0"
ciclo 2,2,CE,IYB-0025,2021-08-20,"262,0"
ciclo 2,2,CE,IYB-0025,2021-08-21,"32,0"
ciclo 2,2,CE,IYB-0025,2021-08-22,"135,0"
ciclo 2,2,CE,IYB-0025,2021-08-23,"237,0"
ciclo 2,2,CE,IYB-0025,2021-08-24,"93,0"
ciclo 2,2,CE,IYB-0025,2021-08-25,"96,0"
ciclo 2,2,CE,IYB-0025,2021-08-26,"1,0"
ciclo 2,2,CE,IYB-0025,2021-11-17,"10,0"
ciclo 2,2,CE,IYB-0025,2021-11-18,"41,0"
ciclo 2,2,MA,IYB-0025,2021-10-04,"15,0"
ciclo 2,2,MA,IYB-0025,2021-10-05,"183,0"
ciclo 2,2,MA,IYB-0025,2021-10-06,"115,0"
ciclo 2,2,MA,IYB-0025,2021-10-07,"154,0"
ciclo 2,2,MA,IYB-0025,2021-10-08,"188,0"
ciclo 2,2,MA,IYB-0025,2021-10-09,"124,0"
ciclo 2,2,MA,IYB-0025,2021-10-10,"53,0"
ciclo 2,2,MA,IYB-0025,2021-10-11,"206,0"
ciclo 2,2,MA,IYB-0025,2021-10-12,"178,0"
ciclo 2,2,MA,IYB-0025,2021-10-16,"153,0"
ciclo 2,2,MA,IYB-0025,2021-10-17,"231,0"
ciclo 2,2,MA,IYB-0025,2021-10-18,"97,0"
ciclo 2,2,MA,IYB-0025,2021-10-20,"268,0"
ciclo 2,2,MA,IYB-0025,2021-10-21,"15,0"
ciclo 2,2,MA,IYB-0025,2021-10-22,"74,0"
ciclo 2,2,MA,IYB-0025,2021-10-23,"148,0"
ciclo 2,2,MA,IYB-0025,2021-10-24,"240,0"
ciclo 2,2,MA,IYB-0025,2021-10-25,"223,0"
ciclo 2,2,MA,IYB-0025,2021-10-26,"254,0"
ciclo 2,2,MA,IYB-0025,2021-10-27,"266,0"
ciclo 2,2,MA,IYB-0025,2021-10-28,"90,0"
ciclo 2,2,MA,IYB-0025,2022-01-09,"29,0"
ciclo 2,2,MA,IYB-0025,2022-01-10,"1,0"
ciclo 2,2,PB,IZV-6C04,2021-12-10,"45,0"
ciclo 2,2,PB,IZV-6C04,2021-12-11,"213,0"
ciclo 2,2,PB,IZV-6C04,2021-12-12,"328,0"
ciclo 2,2,PB,IZV-6C04,2021-12-13,"85,0"
ciclo 2,2,PB,IZV-6C04,2021-12-14,"171,0"
ciclo 2,2,PB,IZV-6C04,2021-12-15,"238,0"
ciclo 2,2,PB,IZV-6C04,2021-12-16,"5,0"
ciclo 2,2,PB,IZV-6C04,2021-12-17,"200,0"
ciclo 2,2,PB,IZV-6C04,2021-12-18,"244,0"
ciclo 2,2,PB,IZV-6C04,2022-01-13,"16,0"
ciclo 2,2,PE,IZV-6C04,2021-11-23,"171,0"
ciclo 2,2,PE,IZV-6C04,2021-11-24,"133,0"
ciclo 2,2,PE,IZV-6C04,2021-11-25,"92,0"
ciclo 2,2,PE,IZV-6C04,2021-11-26,"184,0"
ciclo 2,2,PE,IZV-6C04,2021-11-27,"125,0"
ciclo 2,2,PE,IZV-6C04,2021-11-28,"218,0"
ciclo 2,2,PE,IZV-6C04,2021-11-29,"86,0"
ciclo 2,2,PE,IZV-6C04,2021-11-30,"91,0"
ciclo 2,2,PE,IZV-6C04,2021-12-01,"25,0"
ciclo 2,2,PE,IZV-6C04,2021-12-02,"148,0"
ciclo 2,2,PE,IZV-6C04,2021-12-03,"239,0"
ciclo 2,2,PE,IZV-6C04,2021-12-04,"44,0"
ciclo 2,2,PE,IZV-6C04,2021-12-05,"172,0"
ciclo 2,2,PE,IZV-6C04,2021-12-06,"181,0"
ciclo 2,2,PE,IZV-6C04,2021-12-07,"214,0"
ciclo 2,2,PE,IZV-6C04,2021-12-08,"128,0"
ciclo 2,2,PE,IZV-6C04,2021-12-09,"26,0"
ciclo 2,2,PE,IZV-6C04,2022-03-03,"6,0"
ciclo 2,2,PI,IYB-0025,2021-08-27,"74,0"
ciclo 2,2,PI,IYB-0025,2021-08-28,"134,0"
ciclo 2,2,PI,IYB-0025,2021-08-29,"116,0"
ciclo 2,2,PI,IYB-0025,2021-08-30,"289,0"
ciclo 2,2,PI,IYB-0025,2021-08-31,"171,0"
ciclo 2,2,PI,IYB-0025,2021-09-01,"99,0"
ciclo 2,2,PI,IYB-0025,2021-09-02,"29,0"
ciclo 2,2,PI,IYB-0025,2021-09-21,"112,0"
ciclo 2,2,PI,IYB-0025,2021-09-22,"22,0"
ciclo 2,2,PI,IYB-0025,2021-09-24,"86,0"
ciclo 2,2,PI,IYB-0025,2021-09-25,"22,0"
ciclo 2,2,PI,IYB-0025,2021-09-26,"1,0"
ciclo 2,2,PI,IYB-0025,2021-09-27,"111,0"
ciclo 2,2,PI,IYB-0025,2021-09-28,"26,0"
ciclo 2,2,PI,IYB-0025,2021-09-29,"32,0"
ciclo 2,2,PI,IYB-0025,2021-10-29,"37,0"
ciclo 2,2,PI,IYB-0025,2021-11-10,"160,0"
ciclo 2,2,PI,IYB-0025,2021-11-11,"250,0"
ciclo 2,2,PI,IYB-0025,2021-11-12,"246,0"
ciclo 2,2,PI,IYB-0025,2021-11-13,"281,0"
ciclo 2,2,PI,IYB-0025,2021-11-14,"6,0"
ciclo 2,2,PI,IYB-0025,2021-11-15,"122,0"
ciclo 2,2,PI,IYB-0025,2021-11-16,"58,0"
ciclo 2,2,RN,IYB-0025,2021-07-12,"163,0"
ciclo 2,2,RN,IYB-0025,2021-07-16,"176,0"
ciclo 2,2,RN,IYB-0025,2021-07-17,"71,0"
ciclo 2,2,RN,IYB-0025,2021-07-18,"154,0"
ciclo 2,2,RN,IYB-0025,2021-07-19,"114,0"
ciclo 2,2,RN,IYB-0025,2021-07-20,"198,0"
ciclo 2,2,RN,IYB-0025,2021-07-21,"22,0"
ciclo 2,2,RN,IYB-0025,2021-07-22,"237,0"
ciclo 2,2,RN,IYB-0025,2021-07-23,"16,0"
ciclo 2,2,RN,IYB-0025,2021-07-24,"133,0"
ciclo 2,2,RN,IYB-0025,2021-07-25,"18,0"
ciclo 2,2,RN,IYB-0025,2021-07-26,"20,0"
ciclo 2,2,RN,IYB-0025,2021-07-27,"238,0"
ciclo 2,2,RN,IYB-0025,2021-07-28,"102,0"
ciclo 2,2,RN,IYB-0025,2021-08-19,"6,0"
ciclo 2,2,SE,IZV-6C04,2021-10-15,"116,0"
ciclo 2,2,SE,IZV-6C04,2021-10-17,"208,0"
ciclo 2,2,SE,IZV-6C04,2021-10-18,"57,0"
ciclo 2,2,SE,IZV-6C04,2022-01-07,"24,0"
ciclo 2,3,ES,ASE-4733,2021-10-17,"19,0"
ciclo 2,3,ES,ASE-4733,2021-10-26,"104,0"
ciclo 2,3,ES,ASE-4733,2022-02-24,"35,0"
ciclo 2,3,ES,ASE-4733,2022-02-26,"55,0"
ciclo 2,3,ES,ASE-4733,2022-02-27,"53,0"
ciclo 2,3,ES,ASE-4733,2022-02-28,"8,0"
ciclo 2,3,ES,ASE-4733,2022-03-01,"96,0"
ciclo 2,3,ES,ASE-4733,2022-03-02,"71,0"
ciclo 2,3,ES,ASE-4733,2022-03-03,"48,0"
ciclo 2,3,ES,ASE-4733,2022-03-04,"14,0"
ciclo 2,3,MG,ASE-4733,2021-07-21,"117,0"
ciclo 2,3,MG,ASE-4733,2021-07-22,"1,0"
ciclo 2,3,MG,ASE-4733,2021-07-23,"176,0"
ciclo 2,3,MG,ASE-4733,2021-07-24,"79,0"
ciclo 2,3,MG,ASE-4733,2021-07-25,"97,0"
ciclo 2,3,MG,ASE-4733,2021-07-26,"18,0"
ciclo 2,3,MG,ASE-4733,2021-08-12,"89,0"
ciclo 2,3,MG,ASE-4733,2021-08-13,"46,0"
ciclo 2,3,MG,ASE-4733,2021-08-16,"44,0"
ciclo 2,3,MG,ASE-4733,2021-08-17,"62,0"
ciclo 2,3,MG,ASE-4733,2021-08-18,"130,0"
ciclo 2,3,MG,ASE-4733,2021-08-19,"54,0"
ciclo 2,3,MG,ASE-4733,2021-08-21,"86,0"
ciclo 2,3,MG,ASE-4733,2021-08-25,"228,0"
ciclo 2,3,MG,ASE-4733,2021-09-13,"62,0"
ciclo 2,3,MG,ASE-4733,2021-10-24,"53,0"
ciclo 2,3,MG,ASE-4733,2021-10-26,"89,0"
ciclo 2,3,MG,ASE-4733,2021-10-27,"41,0"
ciclo 2,3,MG,ASE-4733,2021-10-28,"112,0"
ciclo 2,3,MG,ASE-4733,2021-10-29,"141,0"
ciclo 2,3,MG,ASE-4733,2021-10-30,"38,0"
ciclo 2,3,MG,ASE-4733,2021-10-31,"23,0"
ciclo 2,3,MG,ASE-4733,2022-01-27,"83,0"
ciclo 2,3,MG,ASE-4733,2022-01-28,"43,0"
ciclo 2,3,MG,ASE-4733,2022-01-29,"112,0"
ciclo 2,3,MG,ASE-4733,2022-02-17,"69,0"
ciclo 2,3,MG,ASE-4733,2022-02-18,"130,0"
ciclo 2,3,MG,ASE-4733,2022-02-19,"139,0"
ciclo 2,3,MG,ASE-4733,2022-02-20,"99,0"
ciclo 2,3,MG,ASE-4733,2022-02-21,"41,0"
ciclo 2,3,MG,ASE-4733,2022-02-22,"207,0"
ciclo 2,3,MG,ASE-4733,2022-02-23,"109,0"
ciclo 2,3,MG,ASE-4733,2022-02-24,"3,0"
ciclo 2,3,MG,ASE-4733,2022-02-25,"119,0"
ciclo 2,3,MG,ASE-4733,2022-02-26,"87,0"
ciclo 2,3,MG,ASE-4733,2022-02-27,"77,0"
ciclo 2,3,MG,ASE-4733,2022-02-28,"75,0"
ciclo 2,3,MG,ASE-4733,2022-03-01,"186,0"
ciclo 2,3,MG,ASE-4733,2022-03-02,"81,0"
ciclo 2,3,MG,ASE-4733,2022-03-03,"74,0"
ciclo 2,3,MG,ASE-4733,2022-03-05,"128,0"
ciclo 2,3,MG,ASE-4733,2022-03-06,"113,0"
ciclo 2,3,MG,ASE-4733,2022-03-07,"51,0"
ciclo 2,3,MG,ASE-4733,2022-03-08,"90,0"
ciclo 2,3,MG,ASE-4733,2022-03-12,"26,0"
ciclo 2,3,MG,ASE-4733,2022-03-13,"137,0"
ciclo 2,3,MG,ASE-4733,2022-03-14,"71,0"
ciclo 2,3,MG,ASE-4733,2022-03-15,"40,0"
ciclo 2,3,MG,ASE-4733,2022-03-16,"27,0"
ciclo 2,3,MG,ASE-4733,2022-03-17,"310,0"
ciclo 2,3,MG,ASE-4733,2022-03-18,"219,0"
ciclo 2,3,MG,ASE-4733,2022-03-25,"7,0"
ciclo 2,3,PR,PYU-7216,2021-06-26,"43,0"
ciclo 2,3,PR,PYU-7216,2021-06-27,"47,0"
ciclo 2,3,PR,PYU-7216,2021-06-28,"93,0"
ciclo 2,3,PR,PYU-7216,2021-06-29,"143,0"
ciclo 2,3,PR,PYU-7216,2021-06-30,"66,0"
ciclo 2,3,PR,PYU-7216,2021-07-01,"153,0"
ciclo 2,3,PR,PYU-7216,2021-07-02,"17,0"
ciclo 2,3,PR,PYU-7216,2021-07-03,"124,0"
ciclo 2,3,PR,PYU-7216,2021-07-05,"162,0"
ciclo 2,3,PR,PYU-7216,2021-07-06,"248,0"
ciclo 2,3,PR,PYU-7216,2021-07-07,"142,0"
ciclo 2,3,PR,PYU-7216,2021-07-08,"177,0"
ciclo 2,3,PR,PYU-7216,2021-07-09,"120,0"
ciclo 2,3,PR,PYU-7216,2021-07-12,"153,0"
ciclo 2,3,PR,PYU-7216,2021-07-13,"75,0"
ciclo 2,3,PR,PYU-7216,2021-07-18,"140,0"
ciclo 2,3,PR,PYU-7216,2021-07-19,"221,0"
ciclo 2,3,PR,PYU-7216,2021-07-20,"203,0"
ciclo 2,3,PR,PYU-7216,2021-07-21,"113,0"
ciclo 2,3,PR,PYU-7216,2021-07-22,"159,0"
ciclo 2,3,PR,PYU-7216,2021-07-23,"102,0"
ciclo 2,3,PR,PYU-7216,2021-07-24,"58,0"
ciclo 2,3,PR,PYU-7216,2021-07-26,"85,0"
ciclo 2,3,PR,PYU-7216,2021-07-27,"67,0"
ciclo 2,3,PR,PYU-7216,2021-08-03,"9,0"
ciclo 2,3,PR,PYU-7216,2021-09-06,"21,0"
ciclo 2,3,PR,PYU-7216,2021-09-08,"26,0"
ciclo 2,3,PR,PYU-7216,2021-09-09,"106,0"
ciclo 2,3,PR,PYU-7216,2021-09-10,"123,0"
ciclo 2,3,PR,PYU-7216,2021-09-11,"60,0"
ciclo 2,3,PR,PYU-7216,2021-09-12,"51,0"
ciclo 2,3,PR,PYU-7216,2021-09-13,"148,0"
ciclo 2,3,PR,PYU-7216,2021-09-15,"133,0"
ciclo 2,3,PR,PYU-7216,2021-11-25,"126,0"
ciclo 2,3,PR,PYU-7216,2021-11-26,"104,0"
ciclo 2,3,PR,PYU-7216,2021-12-02,"39,0"
ciclo 2,3,PR,PYU-7216,2021-12-05,"34,0"
ciclo 2,3,PR,PYU-7216,2021-12-07,"5,0"
ciclo 2,3,PR,PYU-7216,2021-12-08,"218,0"
ciclo 2,3,PR,PYU-7216,2021-12-11,"35,0"
ciclo 2,3,PR,PYU-7216,2021-12-13,"42,0"
ciclo 2,3,PR,PYU-7216,2021-12-14,"46,0"
ciclo 2,3,PR,PYU-7216,2021-12-17,"79,0"
ciclo 2,3,PR,PYU-7216,2021-12-18,"24,0"
ciclo 2,3,PR,PYU-7216,2022-02-02,"1,0"
ciclo 2,3,RJ,ASE-4733,2022-02-23,"52,0"
ciclo 2,3,RJ,ASE-4733,2022-02-24,"106,0"
ciclo 2,3,RJ,ASE-4733,2022-02-25,"52,0"
ciclo 2,3,RJ,ASE-4733,2022-03-08,"24,0"
ciclo 2,3,RJ,ASE-4733,2022-03-09,"50,0"
ciclo 2,3,RJ,ASE-4733,2022-03-13,"122,0"
ciclo 2,3,RJ,ASE-4733,2022-03-14,"73,0"
ciclo 2,3,RJ,ASE-4733,2022-03-15,"113,0"
ciclo 2,3,RJ,ASE-4733,2022-03-16,"49,0"
ciclo 2,3,RJ,ASE-4733,2022-03-17,"10,0"
ciclo 2,3,RJ,ASE-4733,2022-03-18,"11,0"
ciclo 2,3,RJ,ASE-4733,2022-03-26,"39,0"
ciclo 2,3,RJ,ASE-4733,2022-03-27,"29,0"
ciclo 2,3,RS,PYU-7216,2021-09-18,"62,0"
ciclo 2,3,RS,PYU-7216,2021-09-22,"155,0"
ciclo 2,3,RS,PYU-7216,2021-09-23,"16,0"
ciclo 2,3,RS,PYU-7216,2021-09-24,"95,0"
ciclo 2,3,RS,PYU-7216,2021-09-25,"142,0"
ciclo 2,3,RS,PYU-7216,2021-09-27,"99,0"
ciclo 2,3,RS,PYU-7216,2021-09-28,"132,0"
ciclo 2,3,RS,PYU-7216,2021-09-29,"297,0"
ciclo 2,3,RS,PYU-7216,2021-09-30,"120,0"
ciclo 2,3,RS,PYU-7216,2021-10-01,"86,0"
ciclo 2,3,RS,PYU-7216,2021-10-02,"198,0"
ciclo 2,3,RS,PYU-7216,2021-10-04,"250,0"
ciclo 2,3,RS,PYU-7216,2021-10-05,"308,0"
ciclo 2,3,RS,PYU-7216,2021-10-06,"286,0"
ciclo 2,3,RS,PYU-7216,2021-10-07,"226,0"
ciclo 2,3,RS,PYU-7216,2021-10-08,"32,0"
ciclo 2,3,RS,PYU-7216,2021-10-09,"222,0"
ciclo 2,3,RS,PYU-7216,2021-10-12,"7,0"
ciclo 2,3,RS,PYU-7216,2021-10-13,"268,0"
ciclo 2,3,RS,PYU-7216,2021-10-14,"128,0"
ciclo 2,3,RS,PYU-7216,2021-10-15,"71,0"
ciclo 2,3,RS,PYU-7216,2021-10-16,"33,0"
ciclo 2,3,RS,PYU-7216,2021-10-18,"176,0"
ciclo 2,3,RS,PYU-7216,2021-10-19,"121,0"
ciclo 2,3,RS,PYU-7216,2021-10-20,"222,0"
ciclo 2,3,RS,PYU-7216,2021-10-21,"182,0"
ciclo 2,3,RS,PYU-7216,2021-10-22,"139,0"
ciclo 2,3,RS,PYU-7216,2021-10-23,"18,0"
ciclo 2,3,RS,PYU-7216,2021-10-25,"101,0"
ciclo 2,3,RS,PYU-7216,2021-10-26,"139,0"
ciclo 2,3,RS,PYU-7216,2021-10-27,"212,0"
ciclo 2,3,RS,PYU-7216,2021-10-28,"43,0"
ciclo 2,3,RS,PYU-7216,2021-10-29,"177,0"
ciclo 2,3,RS,PYU-7216,2021-10-30,"75,0"
ciclo 2,3,SC,PYU-7216,2021-09-13,"3,0"
ciclo 2,3,SC,PYU-7216,2021-09-18,"112,0"
ciclo 2,3,SC,PYU-7216,2021-09-19,"25,0"
ciclo 2,3,SC,PYU-7216,2021-09-20,"247,0"
ciclo 2,3,SC,PYU-7216,2021-09-21,"8,0"
